filename,genre,id,title,author,year,subjects,locc,source_url
fiction\2591_Grimms_Fairy_Tales.txt,fiction,2591,Grimms' Fairy Tales,"Grimm, Jacob, 1785-1863; Grimm, Wilhelm, 1786-1859",2001,Fairy tales -- Germany,PT,https://www.gutenberg.org/ebooks/2591
fiction\25344_The_Scarlet_Letter.txt,fiction,25344,The Scarlet Letter,"Hawthorne, Nathaniel, 1804-1864; Anthony, A. V. S. (Andrew Varick Stout), 1835-1906 [Engraver]; Foote, Mary Hallock, 1847-1938 [Illustrator]; Ipsen, Ludvig SandÃ¶e [Illustrator]",2008,"Adultery -- Fiction; Historical fiction; Revenge -- Fiction; Psychological fiction; Married women -- Fiction; Clergy -- Fiction; Triangles (Interpersonal relations) -- Fiction; Illegitimate children -- Fiction; Women immigrants -- Fiction; Puritans -- Fiction; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,https://www.gutenberg.org/ebooks/25344
nonfiction\20948_Memoirs_of_the_Jacobites_of_1715_and_1745_Volume_I.txt,nonfiction,20948,Memoirs of the Jacobites of 1715 and 1745. Volume III.,"Thomson, A. T., Mrs., 1797-1862",2007,"Jacobite Rebellion, 1745-1746; Jacobites; Jacobite Rebellion, 1715",DA,https://www.gutenberg.org/ebooks/20948
nonfiction\1998_Thus_Spake_Zarathustra_A_Book_for_All_and_None.txt,nonfiction,1998,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm, 1844-1900; Common, Thomas, 1850-1919 [Translator]",1999,"Superman (Philosophical concept); Philosophy, German",B,https://www.gutenberg.org/ebooks/1998
fiction\65238_The_Secret_of_Chimneys.txt,fiction,65238,The Secret of Chimneys,"Christie, Agatha, 1890-1976",2021,"Detective and mystery stories; Police -- England -- Fiction; Battle, Superintendent (Fictitious character) -- Fiction",PR,https://www.gutenberg.org/ebooks/65238
nonfiction\23_Narrative_of_the_Life_of_Frederick_Douglass_an_Ame.txt,nonfiction,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick, 1818-1895",2006,"Douglass, Frederick, 1818-1895; African American abolitionists -- Biography; Abolitionists -- United States -- Biography; Enslaved persons -- United States -- Biography",E300,https://www.gutenberg.org/ebooks/23
nonfiction\1232_The_Prince.txt,nonfiction,1232,The Prince,"Machiavelli, NiccolÃ², 1469-1527; Marriott, W. K. (William Kenaz), -1927 [Translator]",2006,"State, The -- Early works to 1800; Political science -- Philosophy -- Early works to 1800; Political ethics -- Early works to 1800",JC,https://www.gutenberg.org/ebooks/1232
nonfiction\3207_Leviathan.txt,nonfiction,3207,Leviathan,"Hobbes, Thomas, 1588-1679",2002,"Political science -- Early works to 1800; State, The -- Early works to 1800",JC,https://www.gutenberg.org/ebooks/3207
nonfiction\15399_The_Interesting_Narrative_of_the_Life_of_Olaudah_E.txt,nonfiction,15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African
Written By Himself","Equiano, Olaudah, 1745-1797",2005,"Enslaved persons -- United States -- Biography; Equiano, Olaudah, 1745-1797; Enslaved persons -- Great Britain -- Biography",HT,https://www.gutenberg.org/ebooks/15399
nonfiction\21006_The_Governments_of_Europe.txt,nonfiction,21006,The Governments of Europe,"Ogg, Frederic Austin, 1878-1951",2007,Political science; Europe -- Politics and government,JF,https://www.gutenberg.org/ebooks/21006
